datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/07/20 16:30:00,AQUA_M-T,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,-999,0,0.7,-228.390,-434.930,48.8
2019/07/20 16:30:00,AQUA_M-T,Brasil,RIO DE JANEIRO,DUQUE DE CAXIAS,Mata Atlantica,-999,0,-999,-226.100,-432.090,43.6
2019/07/20 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,MUNHOZ,Mata Atlantica,9,1.2,0.9,-226.070,-462.150,12.7
2019/07/20 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,SENADOR AMARAL,Mata Atlantica,10,1.2,0.9,-226.020,-462.230,10.8
2019/07/20 16:30:00,AQUA_M-T,Brasil,SAO PAULO,SANTA MARIA DA SERRA,Cerrado,3,1.8,1,-225.550,-481.930,21.1
2019/07/20 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,PERDIZES,Cerrado,33,0,1,-193.360,-472.120,15.8
2019/07/21 17:15:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANA,Amazonia,0,0,0.3,-68.420,-600.900,257
2019/07/22 18:00:00,AQUA_M-T,Brasil,ACRE,SENA MADUREIRA,Amazonia,5,0,0.7,-105.490,-698.920,23.1
2019/07/22 18:00:00,AQUA_M-T,Brasil,RONDONIA,THEOBROMA,Amazonia,10,0,1,-102.990,-626.260,54.9
2019/07/23 17:00:00,AQUA_M-T,Brasil,PARANA,IRATI,Mata Atlantica,8,0,0.8,-254.470,-508.240,15.7
2019/07/23 17:00:00,AQUA_M-T,Brasil,PARANA,QUITANDINHA,Mata Atlantica,7,0,0.7,-259.360,-495.180,18.4
2019/07/23 17:00:00,AQUA_M-T,Brasil,PARANA,PINHAO,Mata Atlantica,0,0,0.3,-258.960,-517.410,23.7
2019/07/24 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,QUERENCIA,Amazonia,14,0,0.8,-117.610,-535.730,53.5
2019/07/25 16:50:00,AQUA_M-T,Brasil,GOIAS,CAMPINACU,Cerrado,18,0,1,-138.710,-483.850,22.5
2019/07/25 16:50:00,AQUA_M-T,Brasil,GOIAS,TERESINA DE GOIAS,Cerrado,19,0,1,-137.010,-472.940,31.3
2019/07/26 15:55:00,AQUA_M-T,Brasil,PIAUI,BERTOLINIA,Cerrado,18,0,1,-75.430,-438.110,43.4
2019/07/30 17:10:00,AQUA_M-T,Brasil,TOCANTINS,MONTE DO CARMO,Cerrado,48,0,1,-104.800,-479.800,40.1
2019/07/30 17:10:00,AQUA_M-T,Brasil,MATO GROSSO,RONDOLANDIA,Amazonia,9,0,1,-107.680,-607.440,25.6
2019/07/31 17:55:00,AQUA_M-T,Brasil,AMAZONAS,PRESIDENTE FIGUEIREDO,Amazonia,0,10.8,0,-20.750,-599.450,8.7
2019/07/31 17:50:00,AQUA_M-T,Brasil,MATO GROSSO,TORIXOREU,Cerrado,7,0,1,-164.930,-530.390,36.2
2019/07/31 17:55:00,AQUA_M-T,Brasil,AMAZONAS,BERURI,Amazonia,7,0,0.1,-49.470,-623.620,41
2019/07/31 17:55:00,AQUA_M-T,Brasil,AMAZONAS,CARAUARI,Amazonia,7,0.9,0.2,-45.410,-665.410,9.4
2019/07/31 17:55:00,AQUA_M-T,Brasil,AMAZONAS,TABATINGA,Amazonia,5,0,0.1,-40.340,-695.420,14.9
2019/07/31 17:45:00,AQUA_M-T,Brasil,PARANA,PALMAS,Mata Atlantica,0,0,0.7,-265.210,-516.260,23.5
2019/07/31 17:45:00,AQUA_M-T,Brasil,PARANA,SAO MATEUS DO SUL,Mata Atlantica,0,0,0.3,-261.150,-503.480,32.6
2019/07/31 17:45:00,AQUA_M-T,Brasil,PARANA,TIJUCAS DO SUL,Mata Atlantica,0,0,0.4,-258.630,-491.380,64.1
2019/07/31 17:45:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,JAQUIRANA,Mata Atlantica,0,0,0.1,-291.180,-502.690,23.1
2019/08/03 18:25:00,AQUA_M-T,Brasil,AMAZONAS,GUAJARA,Amazonia,8,0,0.5,-72.320,-726.550,18
2019/08/03 18:20:00,AQUA_M-T,Brasil,ACRE,ACRELANDIA,Amazonia,10,0,0.8,-99.750,-670.090,16.8
2019/08/03 18:20:00,AQUA_M-T,Brasil,ACRE,RIO BRANCO,Amazonia,9,0,0.8,-99.630,-687.560,6.2
2019/08/03 18:20:00,AQUA_M-T,Brasil,ACRE,BUJARI,Amazonia,9,0,0.9,-93.200,-683.460,100.9
2019/08/05 18:05:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,QUARAI,Pampa,3,0,0.2,-301.330,-561.810,11.4
2019/08/05 18:05:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,SAO GABRIEL,Pampa,3,0,0.1,-300.390,-540.350,32
2019/08/05 16:30:00,AQUA_M-T,Brasil,PIAUI,SAO GONCALO DO GURGUEIA,Cerrado,62,0,1,-100.460,-454.820,46.9
2019/08/05 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,URUCUIA,Cerrado,14,0,1,-162.670,-453.960,6.2
2019/08/10 18:25:00,AQUA_M-T,Brasil,RONDONIA,ALTO ALEGRE DOS PARECIS,Amazonia,17,0,1,-127.700,-619.540,81.3
2019/08/10 18:25:00,AQUA_M-T,Brasil,RONDONIA,SAO FRANCISCO DO GUAPORE,Amazonia,20,0,1,-125.510,-627.160,171.8
2019/08/10 18:30:00,AQUA_M-T,Brasil,RONDONIA,NOVA UNIAO,Amazonia,20,0,1,-109.970,-624.580,26.7
2019/08/11 17:30:00,AQUA_M-T,Brasil,PARANA,TIBAGI,Mata Atlantica,18,0,0.9,-247.310,-504.630,68.7
2019/08/11 17:30:00,AQUA_M-T,Brasil,PARANA,PONTA GROSSA,Mata Atlantica,12,0,1,-251.500,-500.830,16.3
2019/08/11 17:30:00,AQUA_M-T,Brasil,PARANA,PRUDENTOPOLIS,Mata Atlantica,12,0,0.5,-250.770,-511.150,21.7
2019/08/11 17:30:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,BOM JESUS,Mata Atlantica,9,0,0.4,-285.080,-501.670,11
2019/08/11 17:30:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,IBIRAIARAS,Mata Atlantica,6,0,0.9,-283.920,-515.390,10.3
2019/08/11 17:30:00,AQUA_M-T,Brasil,SANTA CATARINA,SAO JOAQUIM,Mata Atlantica,9,0,0.9,-283.880,-502.350,4.9
2019/08/11 17:30:00,AQUA_M-T,Brasil,SANTA CATARINA,LAGES,Mata Atlantica,9,0,0.9,-283.370,-505.990,6.7
2019/08/11 17:30:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,MUITOS CAPOES,Mata Atlantica,9,0,0.9,-282.870,-510.890,8.3
2019/08/12 18:15:00,AQUA_M-T,Brasil,ACRE,TARAUACA,Amazonia,17,0,1,-85.130,-709.710,10.7
2019/08/13 17:20:00,AQUA_M-T,Brasil,TOCANTINS,ARAGUACEMA,Cerrado,77,0,1,-86.900,-494.700,35.1
2019/08/14 18:00:00,AQUA_M-T,Brasil,PARANA,ALTO PIQUIRI,Mata Atlantica,6,0,1,-240.530,-535.050,158
2019/08/14 18:05:00,AQUA_M-T,Brasil,ACRE,FEIJO,Amazonia,20,0,0.8,-83.390,-701.840,12.8
2019/11/02 16:25:00,AQUA_M-T,Brasil,BAHIA,RIACHAO DAS NEVES,Cerrado,8,1.6,0.5,-116.540,-450.790,796.6
2019/11/07 16:45:00,AQUA_M-T,Brasil,PARA,BRAGANCA,Amazonia,5,0.5,0.7,-11.610,-467.130,229.2
2019/11/30 16:50:00,AQUA_M-T,Brasil,PARA,BAGRE,Amazonia,-999,0,0.4,-19.740,-501.860,16.9
2019/12/13 16:20:00,AQUA_M-T,Brasil,MARANHAO,TURIACU,Amazonia,0,2.1,0.4,-17.030,-456.550,15.5
2019/12/25 16:40:00,AQUA_M-T,Brasil,SAO PAULO,BEBEDOURO,Cerrado,0,0.2,0.1,-208.490,-485.490,20.8
2019/12/28 17:10:00,AQUA_M-T,Brasil,PARANA,CAMPO LARGO,Mata Atlantica,8,0,0.2,-253.770,-496.360,18.4
2019/12/30 16:55:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,PORTO ALEGRE,Pampa,-999,0,-999,-300.480,-511.310,21.2
2019/01/01 17:20:00,AQUA_M-T,Brasil,GOIAS,TURVELANDIA,Cerrado,0,1.1,0.3,-178.080,-502.890,14.4
2019/01/02 16:30:00,AQUA_M-T,Brasil,MARANHAO,CANDIDO MENDES,Amazonia,-999,0,0.1,-14.950,-457.030,28.5
2019/01/04 16:15:00,AQUA_M-T,Brasil,CEARA,SABOEIRO,Caatinga,10,0,0.9,-65.180,-398.120,21.4
2019/01/04 16:15:00,AQUA_M-T,Brasil,CEARA,VARZEA ALEGRE,Caatinga,11,0,0.5,-65.710,-392.770,22.8
2019/01/04 16:10:00,AQUA_M-T,Brasil,BAHIA,INHAMBUPE,Caatinga,10,0,1,-118.730,-384.230,25
2019/01/04 16:15:00,AQUA_M-T,Brasil,ALAGOAS,TRAIPU,Caatinga,11,0,1,-98.150,-369.870,30.1
2019/01/05 17:00:00,AQUA_M-T,Brasil,PARA,FARO,Amazonia,7,0,0.1,-11.010,-580.490,22.8
2019/01/07 16:40:00,AQUA_M-T,Brasil,GOIAS,VILA PROPICIO,Cerrado,1,3,0.2,-151.780,-486.700,20.3
2019/01/07 16:40:00,AQUA_M-T,Brasil,GOIAS,ANICUNS,Cerrado,0,0.1,0.3,-162.960,-499.530,66.6
2019/01/07 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,SANTA VITORIA,Cerrado,2,0,0,-187.370,-500.720,23.4
2019/01/07 16:40:00,AQUA_M-T,Brasil,BAHIA,CANAVIEIRAS,Mata Atlantica,-999,0,0.2,-157.630,-389.420,51.9
2019/01/09 16:30:00,AQUA_M-T,Brasil,TOCANTINS,DARCINOPOLIS,Cerrado,0,2.8,0.1,-68.510,-477.000,16.2
2019/01/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,CONSELHEIRO LAFAIETE,Mata Atlantica,2,0,1,-207.130,-437.070,8.1
2019/01/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,ABAETE,Cerrado,0,0.8,0.8,-191.600,-454.490,6.7
2019/01/10 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,CAMPOS DE JULIO,Cerrado,0,0.6,0.1,-127.220,-589.790,21.4
2019/01/12 17:00:00,AQUA_M-T,Brasil,SAO PAULO,PEDERNEIRAS,Mata Atlantica,0,34.5,0,-222.810,-487.670,10.2
2019/01/12 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CAARAPO,Mata Atlantica,0,1.5,0.1,-224.080,-548.820,26.4
2019/01/21 16:55:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,JUTI,Mata Atlantica,0,1.5,0.2,-228.330,-545.700,40.6
2019/01/13 16:05:00,AQUA_M-T,Brasil,ALAGOAS,TEOTONIO VILELA,Mata Atlantica,5,0,1,-99.950,-364.670,80
2019/01/13 16:05:00,AQUA_M-T,Brasil,ALAGOAS,SAO SEBASTIAO,Mata Atlantica,5,0,1,-99.960,-364.760,10.3
2019/01/15 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,DEODAPOLIS,Mata Atlantica,0,2.3,0.8,-221.380,-542.030,16.8
2019/01/15 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,IVINHEMA,Mata Atlantica,2,5.8,0.4,-224.290,-537.080,15
2019/01/15 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,IGUATEMI,Mata Atlantica,3,0.9,0.6,-231.550,-544.060,9.4
2019/01/15 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,ITAQUIRAI,Mata Atlantica,0,2.5,0.7,-235.480,-541.500,13.3
2019/01/22 17:35:00,AQUA_M-T,Brasil,PARANA,SANTA TEREZINHA DE ITAIPU,Mata Atlantica,3,0,0.3,-254.710,-543.910,13.2
2019/01/16 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,VAZANTE,Cerrado,6,0,-999,-179.920,-469.040,13.6
2019/01/17 17:20:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,RIBAS DO RIO PARDO,Cerrado,2,0.3,0.6,-201.190,-534.370,23.1
2019/01/17 17:20:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,BODOQUENA,Cerrado,5,0,0.4,-203.010,-568.940,10.9
2019/01/17 17:20:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CAMPO GRANDE,Cerrado,1,0,0.5,-207.820,-544.980,11
2019/01/17 17:20:00,AQUA_M-T,Brasil,SAO PAULO,JUNQUEIROPOLIS,Mata Atlantica,0,13.3,0.2,-213.600,-514.310,14.4
2019/01/19 17:10:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO XINGU,Amazonia,0,3.4,0.1,-107.550,-529.400,6
2019/01/21 16:55:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,MARACAJU,Cerrado,2,0,0.3,-212.590,-554.120,31.8
2019/01/26 17:10:00,AQUA_M-T,Brasil,PARANA,CAMPO MOURAO,Mata Atlantica,2,0,0.1,-240.520,-522.600,5.6
2019/01/26 17:10:00,AQUA_M-T,Brasil,PARANA,CERRO AZUL,Mata Atlantica,2,0,0.1,-247.540,-491.480,10.9
2019/01/26 17:10:00,AQUA_M-T,Brasil,PARANA,OURO VERDE DO OESTE,Mata Atlantica,1,0,0.8,-248.450,-538.360,13.7
2019/01/26 17:10:00,AQUA_M-T,Brasil,PARANA,PATO BRANCO,Mata Atlantica,2,0.4,0.1,-262.040,-526.040,7.1
2019/01/05 17:00:00,AQUA_M-T,Brasil,MARANHAO,PAULINO NEVES,Cerrado,9,4.1,0,-29.360,-425.970,16
2019/02/07 16:00:00,AQUA_M-T,Brasil,BAHIA,SAO FELIX,Mata Atlantica,3,2.3,0.8,-127.010,-390.210,37.3
2019/02/07 16:00:00,AQUA_M-T,Brasil,BAHIA,WENCESLAU GUIMARAES,Mata Atlantica,14,0.1,0.8,-136.760,-395.860,11.4
2019/02/07 16:00:00,AQUA_M-T,Brasil,BAHIA,GANDU,Mata Atlantica,8,0.2,0.7,-137.560,-394.140,16.8
2019/02/07 16:00:00,AQUA_M-T,Brasil,BAHIA,AURELINO LEAL,Mata Atlantica,6,0,0.6,-143.120,-393.830,26.9
2019/02/07 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,PONTES E LACERDA,Amazonia,0,0.5,0.9,-151.230,-593.710,10.5
2019/02/07 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,SALTO DO CEU,Amazonia,3,1.1,0.7,-150.930,-578.960,12.1
2019/07/28 17:20:00,AQUA_M-T,Brasil,AMAZONAS,TAPAUA,Amazonia,14,0,0.6,-67.040,-631.470,25
2019/08/01 16:55:00,AQUA_M-T,Brasil,GOIAS,GOIAS,Cerrado,11,0,1,-158.580,-498.090,14.6
2019/08/02 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,JAURU,Amazonia,8,0,1,-153.850,-588.880,29.2
2019/08/03 16:40:00,AQUA_M-T,Brasil,GOIAS,PARAUNA,Cerrado,18,0,1,-169.130,-504.570,12
2019/08/03 18:20:00,AQUA_M-T,Brasil,RONDONIA,OURO PRETO DO OESTE,Amazonia,13,0,0.9,-102.410,-619.410,2872.1
2019/08/04 17:20:00,AQUA_M-T,Brasil,SANTA CATARINA,PAINEL,Mata Atlantica,2,0,0.6,-281.430,-501.170,12.4
2019/08/05 16:30:00,AQUA_M-T,Brasil,BAHIA,COTEGIPE,Cerrado,80,0,1,-114.900,-440.320,12.4
2019/08/06 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,CAMPO VERDE,Cerrado,15,0,1,-152.990,-548.070,14.1
2019/08/09 17:45:00,AQUA_M-T,Brasil,AMAZONAS,TONANTINS,Amazonia,5,0.5,0.2,-27.390,-675.870,21.4
2019/08/11 17:30:00,AQUA_M-T,Brasil,GOIAS,SENADOR CANEDO,Cerrado,6,0,-999,-167.000,-491.270,56.9
2019/08/11 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,RIO BRILHANTE,Cerrado,3,0,1,-217.060,-545.670,207.4
2019/08/11 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,NOVA ANDRADINA,Cerrado,15,0,1,-218.790,-531.580,8.5
2019/08/11 17:30:00,AQUA_M-T,Brasil,SAO PAULO,MARTINOPOLIS,Cerrado,6,0,1,-221.380,-511.520,51.7
2019/08/11 17:30:00,AQUA_M-T,Brasil,GOIAS,SANTA RITA DO ARAGUAIA,Cerrado,6,0,0.9,-173.440,-531.840,22.5
2019/08/11 17:30:00,AQUA_M-T,Brasil,GOIAS,ACREUNA,Cerrado,6,0,1,-175.620,-501.030,38.6
2019/08/11 17:30:00,AQUA_M-T,Brasil,SAO PAULO,AVARE,Cerrado,7,0,1,-229.080,-488.390,37.3
2019/08/11 17:30:00,AQUA_M-T,Brasil,SAO PAULO,BOTUCATU,Cerrado,7,0,1,-229.170,-488.150,217.4
2019/08/12 16:35:00,AQUA_M-T,Brasil,GOIAS,CUMARI,Cerrado,21,0,1,-183.580,-482.250,16.5
